label,source,target
ab,1-2-3,1-1-4
ab,1-2-3,1-5-4
ab,1-2-6,1-1-4
ab,1-2-6,1-5-4
ab,2-3-2,2-4-1
ab,2-3-2,2-4-5
ab,2-6-2,2-4-1
ab,2-6-2,2-4-5
ac,1-1-4,1-2-6
ac,1-1-4,1-3-6
ac,1-1-5,1-2-6
ac,1-1-5,1-3-6
ac,2-4-1,2-6-2
ac,2-4-1,2-6-3
ac,2-5-1,2-6-2
ac,2-5-1,2-6-3
ba,2-1-4,2-2-3
ba,2-1-4,2-2-6
ba,1-4-1,1-3-2
ba,1-4-1,1-6-2
ba,1-4-5,1-3-2
ba,1-4-5,1-6-2
ba,2-5-4,2-2-3
ba,2-5-4,2-2-6
bc,2-2-3,2-5-1
bc,2-2-3,2-5-4
bc,1-3-2,1-1-5
bc,1-3-2,1-4-5
bc,1-3-6,1-1-5
bc,1-3-6,1-4-5
bc,2-6-3,2-5-1
bc,2-6-3,2-5-4
ca,2-2-6,2-1-4
ca,2-2-6,2-1-5
ca,2-3-6,2-1-4
ca,2-3-6,2-1-5
ca,1-6-2,1-4-1
ca,1-6-2,1-5-1
ca,1-6-3,1-4-1
ca,1-6-3,1-5-1
cb,2-1-5,2-3-2
cb,2-1-5,2-3-6
cb,2-4-5,2-3-2
cb,2-4-5,2-3-6
cb,1-5-1,1-2-3
cb,1-5-1,1-6-3
cb,1-5-4,1-2-3
cb,1-5-4,1-6-3
